Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_083.jpg;0;0.7015318;0;0.05563972;99.67757;85.59669;0.2156088;45.27318;0.0007731175
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_154.jpg;0;0.8889581;0;0.09858655;99.68392;85.60312;0.3878762;45.33855;0.0004096339
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_220.jpg;0;1;0;0.1616609;99.69637;85.61558;0.6758025;45.10059;0.0006977416
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_287.jpg;0;1;0;0.1940805;99.70856;85.62782;0.9234994;45.15255;-0.001021032
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_355.jpg;0;1;0;0.2681208;99.72327;85.64254;1.189955;45.123;-0.000830901
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_421.jpg;0;1;0;0.3161326;99.74345;85.66204;1.313253;45.40582;-0.005454753
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_487.jpg;0;1;0;0.3609789;99.75845;85.67681;1.175046;45.33625;0.0001503224
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_557.jpg;0;1;0;0.4368176;99.78304;85.70133;1.093219;45.14532;0.0002400341
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_621.jpg;0;1;0;0.5015926;99.80505;85.72335;1.113036;45.15414;-0.0003625487
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_687.jpg;0;1;0;0.5353749;99.82938;85.74765;1.171175;45.12988;-1.179521E-05
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_755.jpg;0;1;0;0.6153895;99.85569;85.77395;1.229302;45.1152;-0.0009126273
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_822.jpg;0;1;0;0.6485779;99.89309;85.81118;1.228387;44.91236;-0.0007618212
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_889.jpg;0;1;0;0.7068949;99.92358;85.84131;1.204666;44.79395;-0.0004936436
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_42_958.jpg;0;1;0;0.7814825;99.96802;85.88509;1.201384;44.72461;-0.0001995334
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_006.jpg;0;1;0;0.7954517;99.99154;85.90818;1.198996;44.68663;-0.0005684976
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_071.jpg;0;1;0;0.8767656;100.0287;85.94463;1.201194;44.5967;-0.0002419646
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_139.jpg;0;1;0;0.9181949;100.0821;85.99694;1.218155;44.5043;-0.0006682289
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_207.jpg;0;1;0;0.976395;100.1247;86.03861;1.227599;44.49112;-0.0009050209
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_272.jpg;0;1;0;1.040795;100.1692;86.08202;1.221511;44.48389;-0.0008357674
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_340.jpg;0;1;0;1.078942;100.2317;86.14294;1.218349;44.46498;-0.0002857853
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_408.jpg;0;1;0;1.131656;100.281;86.19096;1.22078;44.41903;-0.0007533327
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_471.jpg;0;1;0;1.193688;100.3323;86.24092;1.226372;44.37579;-0.0005516907
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_539.jpg;0;1;0;1.237295;100.4039;86.31051;1.230732;44.33283;-0.0007092759
